All ingredients in cryoprotective solution,DMSO usage,cooling rate,viability,recovery,Doubling time,Comments about method,Comments about results,Source (DOI link)
300 mM Ethylene glycol + 1 mM Taurine + 1% Ectoine,0.1,slow_freeze,0.96,0.21,Not explicitly mentioned,"Differential Evolution (DE) Algorithm-Method Extensibility,High-throughput screening: 96-well plate ,and DMSO-free","Higher viability( in Vial freezing and good recovery)  It can be optimized by adding rate of addition and removal of cryopro-tectants, temperature of nucleation, incubation time,hold temperature and more.", https://doi.org/10.1002/term.2175
0.25 M trehalose,0,slow_freeze,0.125,not mention,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates. It takes around 14 days for them to double.,"- ASCs isolated from adipose tissue was cultured to passage 2, cryopreserved for 3 months in liquid nitrogen.
- Six CPA combinations tested using slow freezing.
- Post-thaw, cells sub-cultured to passage 3 for assays (viability via trypan blue, phenotyping, proliferation, differentiation, stemness via Real-Time PCR).
- Differentiation assessed by staining and gene expression (adipogenic, osteogenic, chondrogenic markers).","- Cryopreserved ASCs maintained fibroblast-like morphology, surface markers, and differentiation potential (adipogenic, osteogenic, chondrogenic) similar to fresh ASCs.
- 5% DMSO without FBS showed high viability, low cytotoxicity, and maintained functional properties, suggesting it as an ideal xeno-free CPA.
- Stemness markers (NANOG, OCT-4, SOX-2, REX-1) showed significantly higher expression in cryopreserved ASCs (p<0.05).
- Trehalose alone was least effective due to inability to prevent intracellular ice formation.",10.1038/srep09596
5% DMSO,0.05,slow_freeze,0.71,not mention,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596
10% DMSO,0.1,slow_freeze,0.82,not mention,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596
5% DMSO + 20% FBS,0.05,slow_freeze,0.82,not mention,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596
10% DMSO + 20% FBS,0.1,slow_freeze,0.84,not mention,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596
10% DMSO + 90% FBS,0.1,slow_freeze,0.82,not mention,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596
10% fetal calf serum + 5% DMSO,0.05,slow_freeze,0.6625,not mention,,The cells were allowed to reach room temp so that the cryopreservant could diffuse into the cells. They were cooled down to -80C and stored in liquid nitrogen.,Standard cyropreservation procedures do not seem to be efficient for BMMeSCs. Viability assays by flow cytometry was more sensitive. Significant cell death is due to cell shrinkage and decreased nucleus to cytoplasm ratio. ,10.1016/j.transproceed.2008.03.04
10 µM S1P + 0.05 M glucose + 0.05 M sucrose + 1.5 M ethylene glycol,0,slow_freeze,0.914,not mention,S1P→C (34.2 ±1.2%) compared with control (31.7 ±0.8%),"High-standard preparation, with usage of fluorescently-labeled antibodies to ensure the pluripotent property of DP-MSCs.  Different assements method were utilized to determine the desire result, such as WST-1 assay in cell morphology, Annexin V-FITC and PI in apoptosis,  trypan blue for viablity test",S1P Pre-Treatment Reduced Actin Cytoskeletal Disruption and Improved Adhesion Ability,https://doi.org/10.3390/life13061286 
10% DMSO + 10% FBS,0.1,slow_freeze,0.857,not mention,(37.63 ±1.1%),,,https://doi.org/10.3390/life13061286 
