all ingredients in cryoprotective solution,eg(%),dmso(%),trehalose(%),fbs(%),sucrose(%),glycerol(%),mannitol(%),creatine(%),viability,recovery,doubling time,cooling rate
8.56% trehalose,0.0,0.0,8.56,0.0,0.0,0.0,0.0,0.0,0.125,0.0,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates. It takes around 14 days for them to double.,slow_freeze
5% DMSO,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,slow_freeze
10% DMSO,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,slow_freeze
5% DMSO + 20% FBS,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.82,0.0,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,slow_freeze
10% DMSO + 20% FBS,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.84,0.0,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,slow_freeze
10% DMSO + 90% FBS,0.0,10.0,0.0,90.0,0.0,0.0,0.0,0.0,0.82,0.0,Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,slow_freeze
10% fetal calf serum + 5% DMSO,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.6625,0.0,,slow_freeze
10% DMSO + 10% FBS,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.857,0.0,37.63,slow_freeze
1.14% w/w trehalose + 2.5% v/v DMSO,0.0,2.5,1.14,0.0,0.0,0.0,0.0,0.0,0.9418,0.9118,,multi_freeze
10% ethyleneglycol + 2.0% DMSO,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9235,0.8735,stem cells average CFU (36.14±2.06)×10^5(fresh UCB) and (27.78±0.58)×10^5(after thawing),multi_freeze
10% DMSO,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.629,,slow_freeze
10% DMSO,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.86,,slow_freeze
5% DMSO,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.86,,slow_freeze
5% DMSO,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.91,,slow_freeze
10% DMSO + 10% FBS,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.73,,55.49±0.06 h close to the contorl (54.28±0.05 h),multi_freeze
10% DMSO,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,,Not mentioned,multi_freeze
10% DMSO,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,Not mentioned,slow_freeze
30% FBS + 5% DMSO,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0,0.8507,,Not mentioned,slow_freeze
10.27% Trehalose,0.0,0.0,10.27,0.0,0.0,0.0,0.0,0.0,0.47,,Not mentioned,slow_freeze
20.54% Trehalose,0.0,0.0,20.54,0.0,0.0,0.0,0.0,0.0,0.56,,Not mentioned,slow_freeze
34.23% Trehalose,0.0,0.0,34.23,0.0,0.0,0.0,0.0,0.0,0.65,,Not mentioned,slow_freeze
42.79% Trehalose,0.0,0.0,42.79,0.0,0.0,0.0,0.0,0.0,0.58,,Not mentioned,slow_freeze
10% Glycerol,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.54,,Not mentioned,slow_freeze
20% Glycerol,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.63,,Not mentioned,slow_freeze
30% Glycerol,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,,Not mentioned,slow_freeze
32.23% Trehalose + 20% Glycerol,0.0,0.0,32.23,0.0,0.0,20.0,0.0,0.0,0.77,,Not mentioned,slow_freeze
10% DMSO + 90% FBS,0.0,10.0,0.0,90.0,0.0,0.0,0.0,0.0,0.75,,Not mentioned,slow_freeze
10% DMSO,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,Not mentioned,slow_freeze
7.5% DMSO,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.84,,Not mentioned,slow_freeze
10% DMSO + 30% FBS,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.92,0.51,Not measrued ,slow_freeze
2.5% DMSO + 30% FBS,0.0,2.5,0.0,30.0,0.0,0.0,0.0,0.0,0.47,0.17,Not measured ,slow_freeze
20% FBS + 5% DMSO,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.87,,30 ± 4 hours ,slow_freeze
20% FBS + 10% DMSO,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.95,,30 ± 4 hours ,slow_freeze
20% FBS + 5% Glycerol,0.0,0.0,0.0,20.0,0.0,5.0,0.0,0.0,0.78,,30 ± 4 hours ,slow_freeze
20% FBS + 10% Glycerol,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.83,,30 ± 4 hours ,slow_freeze
20% FBS + 1.03% sucrose,0.0,0.0,0.0,20.0,1.03,0.0,0.0,0.0,0.21,,30 ± 4 hours ,slow_freeze
20% FBS + 2.05% sucrose,0.0,0.0,0.0,20.0,2.05,0.0,0.0,0.0,0.28,,30 ± 4 hours ,slow_freeze
20% FBS + 2.05% trehalose,0.0,0.0,2.05,20.0,0.0,0.0,0.0,0.0,0.36,,30 ± 4 hours ,slow_freeze
20% FBS + 3.42% trehalose,0.0,0.0,3.42,20.0,0.0,0.0,0.0,0.0,0.38,,30 ± 4 hours ,slow_freeze
10% DMSO + 10% FBS,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.297,,Not reported,slow_freeze
10% DMSO + 10% FBS,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.353,,Not reported,multi_freeze
80% FCS + 10% DMSO,0.0,10.0,0.0,80.0,0.0,0.0,0.0,0.0,0.841,,Not mentioned,slow_freeze
2.80% ethylene glycol ,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,,Not mentioned ,slow_freeze
5.58% ethylene glycol ,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,,Not mentioned ,slow_freeze
8.37% ethylene glycol,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,,Not mentioned ,slow_freeze
7.81% DMSO ,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.74,,Not mentioned ,slow_freeze
15.63% DMSO ,0.0,15.63,0.0,0.0,0.0,0.0,0.0,0.0,0.906,,Not mentioned ,slow_freeze
23.44% DMSO ,0.0,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.91,,Not mentioned ,slow_freeze
80% FCS + 10% DMSO,0.0,10.0,0.0,80.0,0.0,0.0,0.0,0.0,0.841,,Not mentioned ,slow_freeze
